Aug 04 2022 18:19:11.224 [DEBUG] timeliner.TimelineSlider       value = 85804
Aug 04 2022 18:19:11.225 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.226 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.226 [DEBUG] timeliner.TimelineSlider       value = 86065
Aug 04 2022 18:19:11.239 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.239 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.239 [DEBUG] timeliner.TimelineSlider       value = 86326
Aug 04 2022 18:19:11.248 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.248 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.248 [DEBUG] timeliner.TimelineSlider       value = 86456
Aug 04 2022 18:19:11.257 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.257 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.257 [DEBUG] timeliner.TimelineSlider       value = 86587
Aug 04 2022 18:19:11.266 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.266 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.266 [DEBUG] timeliner.TimelineSlider       value = 86717
Aug 04 2022 18:19:11.268 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.268 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.268 [DEBUG] timeliner.TimelineSlider       value = 86847
Aug 04 2022 18:19:11.276 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.276 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.276 [DEBUG] timeliner.TimelineSlider       value = 86978
Aug 04 2022 18:19:11.288 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.288 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.288 [DEBUG] timeliner.TimelineSlider       value = 87239
Aug 04 2022 18:19:11.297 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.297 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.297 [DEBUG] timeliner.TimelineSlider       value = 87369
Aug 04 2022 18:19:11.306 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.306 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.306 [DEBUG] timeliner.TimelineSlider       value = 87630
Aug 04 2022 18:19:11.315 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.316 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.316 [DEBUG] timeliner.TimelineSlider       value = 87760
Aug 04 2022 18:19:11.324 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.324 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.324 [DEBUG] timeliner.TimelineSlider       value = 87891
Aug 04 2022 18:19:11.333 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.333 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.333 [DEBUG] timeliner.TimelineSlider       value = 88021
Aug 04 2022 18:19:11.344 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.344 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.344 [DEBUG] timeliner.TimelineSlider       value = 88282
Aug 04 2022 18:19:11.358 [DEBUG] timeliner.TimelineSlider       range = 226377
